tau,cvxvx
0.01983542,8361.68218619
0.01986543,8352.42425570
0.01989544,8343.15634926
0.01992544,8333.88227739
0.01995545,8324.61568912
0.01998546,8315.36548849
0.02001547,8306.14225142
0.02004548,8296.94669717
0.02007549,8287.77645860
0.02010549,8278.63097221
0.02013550,8269.50761379
0.02016551,8260.40687776
0.02019552,8251.32158787
0.02022553,8242.25220737
0.02025553,8233.18735020
0.02028554,8224.11950356
0.02031555,8215.04170574
0.02034556,8205.93919015
0.02037557,8196.80269597
0.02040558,8187.63075039
0.02043558,8178.41239614
0.02046559,8169.14979191
0.02049560,8159.84030368
0.02052561,8150.47875018
0.02055562,8141.06785375
0.02058563,8131.60503483
0.02061563,8122.09313467
0.02064564,8112.53418631
0.02067565,8102.93118456
0.02070566,8093.28891599
0.02073567,8083.60546838
0.02076567,8073.87624759
0.02079568,8064.10770838
0.02082569,8054.31214533
0.02085570,8044.49999193
0.02088571,8034.68743972
0.02091572,8024.88182144
0.02094572,8015.09140112
0.02097573,8005.31866009
0.02100574,7995.56835018
0.02103575,7985.84026324
0.02106576,7976.13712550
0.02109576,7966.46123575
0.02112577,7956.80697447
0.02115578,7947.16822262
0.02118579,7937.53540018
0.02121580,7927.90028842
0.02124581,7918.25131002
0.02127581,7908.58506618
0.02130582,7898.89784449
0.02133583,7889.19577445
0.02136584,7879.47404066
0.02139585,7869.73517176
0.02142585,7859.97948827
0.02145586,7850.22108750
0.02148587,7840.47529557
0.02151588,7830.75008643
0.02154589,7821.05236250
0.02157590,7811.38482132
0.02160590,7801.74366930
0.02163591,7792.12192151
0.02166592,7782.51655423
0.02169593,7772.91155147
0.02172594,7763.29881800
0.02175594,7753.67047952
0.02178595,7744.01890254
0.02181596,7734.34396631
0.02184597,7724.63576996
0.02187598,7714.89932594
0.02190599,7705.13454544
0.02193599,7695.34084164
0.02196600,7685.52178048
0.02199601,7675.66655368
0.02202602,7665.77624204
0.02205603,7655.84814303
0.02208604,7645.88119432
0.02211604,7635.87985040
0.02214605,7625.85005790
0.02217606,7615.80190934
0.02220607,7605.73805222
0.02223608,7595.65684658
0.02226608,7585.56172219
0.02229609,7575.45080770
0.02232610,7565.33652910
0.02235611,7555.22169399
0.02238612,7545.10971480
0.02241613,7535.00425428
0.02244613,7524.91269465
0.02247614,7514.84338449
0.02250615,7504.80106518
0.02253616,7494.79181485
0.02256617,7484.82121079
0.02259617,7474.89170018
0.02262618,7465.00942537
0.02265619,7455.17246142
0.02268620,7445.38016631
0.02271621,7435.62169340
0.02274622,7425.89096827
0.02277622,7416.17807892
0.02280623,7406.48434548
0.02283624,7396.81502562
0.02286625,7387.17192849
0.02289626,7377.55710147
0.02292626,7367.96620057
0.02295627,7358.40407243
0.02298628,7348.86927904
0.02301629,7339.36580002
0.02304630,7329.88993548
0.02307631,7320.44146324
0.02310631,7311.01293419
0.02313632,7301.59474853
0.02316633,7292.17121526
0.02319634,7282.72804555
0.02322635,7273.24359768
0.02325635,7263.69975114
0.02328636,7254.08123254
0.02331637,7244.38137261
0.02334638,7234.59929246
0.02337639,7224.73004191
0.02340640,7214.77858695
0.02343640,7204.74419982
0.02346641,7194.63745772
0.02349642,7184.46653195
0.02352643,7174.24415551
0.02355644,7163.98737463
0.02358645,7153.70122252
0.02361645,7143.38882151
0.02364646,7133.04896618
0.02367647,7122.68536287
0.02370648,7112.30576857
0.02373649,7101.91934191
0.02376649,7091.53446857
0.02379650,7081.15543897
0.02382651,7070.78527353
0.02385652,7060.42671305
0.02388653,7050.07835735
0.02391654,7039.74838244
0.02394654,7029.44923643
0.02397655,7019.18994857
0.02400656,7008.97990221
0.02403657,6998.82153180
0.02406658,6988.72366121
0.02409658,6978.68962717
0.02412659,6968.72473732
0.02415660,6958.82639467
0.02418661,6949.00143717
0.02421662,6939.24446471
0.02424663,6929.55440018
0.02427663,6919.92577813
0.02430664,6910.34735127
0.02433665,6900.80775717
0.02436666,6891.28569140
0.02439667,6881.76221636
0.02442667,6872.22558278
0.02445668,6862.66548309
0.02448669,6853.07944235
0.02451670,6843.46448500
0.02454671,6833.82159044
