tau,c_fx_fx,c_fx_fy,c_fy_fy
0.00050700,-344801444.19117647,-31553066.83823529,-316859965.47794116
0.00050850,-346690129.26470590,-31327962.61029412,-318695510.82720590
0.00051000,-348550358.63970590,-31095086.94852941,-320502882.53676468
0.00051150,-350382684.24632353,-30857142.73897059,-322282174.43014705
0.00051300,-352186624.28308821,-30611994.15625000,-324034955.88235295
0.00051450,-353961920.47794116,-30361639.96323529,-325761954.83455884
0.00051600,-355710977.88602942,-30106324.69669118,-327462105.77205884
0.00051750,-357431872.88602942,-29844569.11764706,-329137838.93382353
0.00051900,-359126918.56617647,-29578507.66544118,-330788008.93382353
0.00052050,-360794085.25735295,-29307355.55147059,-332414750.55147058
0.00052200,-362436509.20955884,-29031352.38970588,-334018737.68382353
0.00052350,-364052847.79411763,-28750871.69117647,-335597771.50735295
0.00052500,-365642431.25000000,-28464812.95036765,-337155864.15441179
0.00052650,-367207003.30882353,-28175673.49264706,-338692730.69852942
0.00052800,-368747313.60294116,-27883240.80882353,-340206951.28676468
0.00052950,-370261254.77941179,-27585507.53676471,-341700876.28676468
0.00053100,-371751120.03676468,-27285245.69852941,-343174542.27941179
0.00053250,-373217637.79411763,-26980974.08088235,-344628672.61029410
0.00053400,-374659792.27941179,-26673684.06250000,-346063165.62500000
0.00053550,-376078629.00735295,-26363381.10294118,-347479776.23161763
0.00053700,-377474126.10294116,-26050503.16176471,-348876354.26654410
0.00053850,-378846707.33823532,-25734239.20955882,-350256420.40441179
0.00054000,-380195808.82352942,-25415900.91911765,-351617606.06617647
0.00054150,-381523230.69852942,-25094692.97794118,-352962147.99632353
0.00054300,-382828623.52941179,-24771694.66911765,-354290616.93014705
0.00054450,-384111003.12500000,-24447169.52205882,-355602873.21691179
0.00054600,-385372255.69852942,-24120586.39705882,-356898863.60294116
0.00054750,-386612590.62500000,-23792469.30147059,-358179450.45955884
0.00054900,-387831706.25000000,-23462441.01102941,-359445064.33823532
0.00055050,-389030631.06617647,-23130147.79411765,-360695437.31617647
0.00055200,-390208796.67279410,-22797722.09558824,-361931402.76654410
